task,model,split_strategy,cold_mae_mean,cold_sample_count_mean,final_cycle_drift_mean,hot_mae_mean,hot_sample_count_mean,inference_seconds_mean,mae_mean,mape_mean,max_absolute_error_mean,mean_bias_mean,r2_mean,rmse_mean,runtime_seconds_mean,soc_0.0_0.2_mae_mean,soc_0.0_0.2_sample_count_mean,soc_0.2_0.8_mae_mean,soc_0.2_0.8_sample_count_mean,soc_0.8_1.0_mae_mean,soc_0.8_1.0_sample_count_mean,test_sample_count_mean,training_seconds_mean,cold_mae_std,cold_sample_count_std,final_cycle_drift_std,hot_mae_std,hot_sample_count_std,inference_seconds_std,mae_std,mape_std,max_absolute_error_std,mean_bias_std,r2_std,rmse_std,runtime_seconds_std,soc_0.0_0.2_mae_std,soc_0.0_0.2_sample_count_std,soc_0.2_0.8_mae_std,soc_0.2_0.8_sample_count_std,soc_0.8_1.0_mae_std,soc_0.8_1.0_sample_count_std,test_sample_count_std,training_seconds_std,seed_count,data_provenance
soc,coulomb_counting,chronological,0.0,0.0,-0.19541782640848968,0.18089657232152798,578.0,0.032260366664559115,0.1741590276146403,24.490064812460115,0.4355588664318792,-0.1650381323513309,-1.9999895030709436,0.20719042415376934,0.032260366664559115,0.0,0.0,0.13275159068497241,600.0,0.38119621226297973,120.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004497836112117276,0.0,0.0,0.0,0.0,0.0,0.0,0.004497836112117276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,synthetic data generated inside this project
soc,coulomb_counting,held_out_cell,0.09405565262752584,137.0,-0.1792551040602334,0.12180363492674835,274.0,0.03389430000000478,0.11235735695498517,18.26676588343947,0.18666071874998247,-0.11235735695498517,-12.55663751112344,0.12393026797180993,0.03389430000000478,0.0,0.0,0.11235735695498517,600.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010780412472767202,0.0,0.0,0.0,0.0,0.0,0.0,0.010780412472767202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,synthetic data generated inside this project
soc,ekf,chronological,0.0,0.0,-0.025719314704242713,0.012368364455115605,578.0,0.03992636666710799,0.011998798917798712,1.8444035058204016,0.03988937319275965,-0.006008437317944916,0.9857627251163152,0.014273262303510772,0.03992636666710799,0.0,0.0,0.012491700395027339,600.0,0.009534291531655584,120.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006477102356421621,0.0,0.0,0.0,0.0,0.0,0.0,0.006477102356421621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,synthetic data generated inside this project
soc,ekf,held_out_cell,0.03368345046815321,137.0,-0.012148560330628277,0.0077249395148097965,274.0,0.040042999999665575,0.017876608219822298,2.9634151125683714,0.046733737333303105,-0.017557182133159224,0.5774411028390154,0.021879884349916178,0.040042999999665575,0.0,0.0,0.017876608219822298,600.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005176366618056366,0.0,0.0,0.0,0.0,0.0,0.0,0.005176366618056366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,synthetic data generated inside this project
soc,gru,chronological,0.0,0.0,0.0014743655775723379,0.020943595434392087,506.0,0.0038016666670349273,0.02099141774697469,3.169124666127829,0.0921875895490728,-0.0034610275112933442,0.9476774122890596,0.026383766286836988,1.7041974333357455,0.0,0.0,0.019867128227998267,480.0,0.02661286534185681,96.0,576.0,1.7003957666687104,0.0,0.0,0.020904663674895227,0.006957429517078463,0.0,0.001959861097514142,0.006389060120512162,0.9570472663825447,0.03350238629422353,0.0047124112701185505,0.03224337911958881,0.007932456617572609,0.38452262932153597,0.0,0.0,0.006279792432992511,0.0,0.0069397725016952195,0.0,0.0,0.38301657259986543,3,synthetic data generated inside this project
soc,gru,held_out_cell,0.019312223130014423,110.0,-0.002985138686225889,0.016779134887223723,226.0,0.003506333333158788,0.017700782710771495,2.8937326148385254,0.06776592365371219,0.002074935854142806,0.4310572524592991,0.022082006207436528,2.335773666668198,0.0,0.0,0.017700782710771495,480.0,0.0,0.0,480.0,2.3322673333350394,0.007574488467113644,0.0,0.03562184928376249,0.0047765077112700925,0.0,0.0005028681058819112,0.005235106902261221,0.8562149563295708,0.016298623034272246,0.002131216354801132,0.3334158950601249,0.006302658085881869,0.28523824215690197,0.0,0.0,0.005235106902261221,0.0,0.0,0.0,0.0,0.2848491725409655,3,synthetic data generated inside this project
soc,hist_gradient_boosting,chronological,0.0,0.0,-0.031105363619519766,0.012239553217936931,578.0,0.005130333333606056,0.012660595142015429,2.040003508451045,0.07166977906932515,-0.00033685142362850884,0.9800509674484438,0.016895487657474888,1.14927316666702,0.0,0.0,0.013708721834698566,600.0,0.007419961678599758,120.0,720.0,1.144142833333414,0.0,0.0,0.0,0.0,0.0,0.002507293121503174,0.0,0.0,0.0,0.0,0.0,0.0,0.17453544397667242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17510807653039803,3,synthetic data generated inside this project
soc,hist_gradient_boosting,held_out_cell,0.017561737513321955,137.0,0.02182970950036467,0.014127381764630341,274.0,0.020414266664981067,0.015229026713740277,2.494738603602739,0.05982990693230761,0.005800187782729766,0.655127249239494,0.019766548275312944,1.4972442666658026,0.0,0.0,0.015229026713740277,600.0,0.0,0.0,600.0,1.4768300000008214,0.0,0.0,0.0,0.0,0.0,0.01978546754178745,0.0,0.0,0.0,0.0,0.0,0.0,0.49782327945722593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4810306243627156,3,synthetic data generated inside this project
soc,mlp,chronological,0.0,0.0,0.002464133199941765,0.04289436635548564,578.0,0.0003892999993695412,0.04296829329782201,6.646991651720225,0.31792085065570563,-0.00347089048300667,0.7736894995995002,0.05645597835375644,0.20897479999863813,0.0,0.0,0.0424286142440082,600.0,0.045666688566891066,120.0,720.0,0.2085854999992686,0.0,0.0,0.02220213667140623,0.008001145320069137,0.0,6.607866642162562e-05,0.007809667201165698,1.24501221657529,0.0848518040610514,0.003923327450447424,0.07069715278639276,0.008752990321284567,0.07257161332125091,0.0,0.0,0.008987770298557195,0.0,0.0027343142961932135,0.0,0.0,0.07250998300774138,3,synthetic data generated inside this project
soc,mlp,held_out_cell,0.04626314084610902,137.0,0.04234514304512138,0.039300550651979495,274.0,0.0006727333335826794,0.04085132358077425,6.686157715542468,0.3183849901387153,-0.0005934812380784755,-1.731209181240436,0.05562377552278843,0.3113828333346949,0.0,0.0,0.04085132358077425,600.0,0.0,0.0,600.0,0.31071010000111227,0.00126913506708243,0.0,0.04344235760791556,0.0006249695070571179,0.0,0.0005258703668728305,0.0012143174205661782,0.2272965553207727,0.12295888501054497,0.003938052145256656,0.061465832803028995,0.00062737120793865,0.21880198558219582,0.0,0.0,0.0012143174205661782,0.0,0.0,0.0,0.0,0.21899963370716963,3,synthetic data generated inside this project
soc,narx,chronological,0.0,0.0,-0.021951964572349564,0.01165828762170338,578.0,1.255517133333342,0.013178582225715363,2.1056799232969516,0.27674413627801964,0.0009590269272351006,0.9690018200522488,0.02104323086910966,1.5703399333324342,0.0,0.0,0.013697621271911134,600.0,0.010583386994736502,120.0,720.0,0.31482279999909224,0.0,0.0,0.008822083791883789,0.00038733165013033594,0.0,0.24763436409346593,0.0004939437551524974,0.0944490694964716,0.03061569486448749,0.0013349619079659515,0.0031553198825000554,0.0010577940595160758,0.294346456192418,0.0,0.0,0.0006900076900921469,0.0,0.0017530929142040546,0.0,0.0,0.04874152266623087,3,synthetic data generated inside this project
soc,narx,held_out_cell,0.009754087457768951,137.0,-0.010662449894320006,0.009668827131990671,274.0,1.0253928666679712,0.01024454208062274,1.6742119154834,0.05170510338435288,-0.0002830600528302229,0.8579062529232795,0.012647921352778249,1.6282988000008725,0.0,0.0,0.01024454208062274,600.0,0.0,0.0,600.0,0.6029059333329011,0.0019058412556446991,0.0,0.0032787705445242745,0.001971763312618985,0.0,0.034015903235823514,0.0012003490396471548,0.19534377847964352,0.00779440539306707,0.0009878150601894242,0.026894424768203924,0.0012322232029275252,0.36931075521826645,0.0,0.0,0.0012003490396471548,0.0,0.0,0.0,0.0,0.35814059566290946,3,synthetic data generated inside this project
soc,ocv_lookup,chronological,0.0,0.0,-0.024623291286552496,0.013342275678716896,578.0,9.549999837569582e-05,0.012970145481821738,1.990673412064705,0.045376254103009384,-0.005318722478880151,0.9821440707470056,0.015984573031169274,9.549999837569582e-05,0.0,0.0,0.013560719959767091,600.0,0.010017273092094964,120.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,1.700264716977217e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.700264716977217e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,synthetic data generated inside this project
soc,ocv_lookup,held_out_cell,0.033303381480696274,137.0,-0.011609774172105292,0.009357334082415633,274.0,9.359999846007365e-05,0.018718126849992776,3.095151251409001,0.05841753831593954,-0.01743491648383508,0.5355544269625496,0.02293870048454631,9.359999846007365e-05,0.0,0.0,0.018718126849992776,600.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,1.878057465299976e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.878057465299976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,synthetic data generated inside this project
soc,random_forest,chronological,0.0,0.0,-0.022232073549529385,0.012834102106404115,578.0,0.005918733334207597,0.013480993973514996,2.1631116533327206,0.0894369617518899,0.0003783779685047924,0.973367225852876,0.01952131857246696,1.6276049666679075,0.0,0.0,0.014476502774787578,600.0,0.008503449967152098,120.0,720.0,1.6216862333337,0.0,0.0,0.0024428264372392573,0.00017276792977036006,0.0,5.6949305021344506e-05,0.0001714668784892839,0.030843565152024778,0.0033904397972231238,0.00024264508383126484,0.00041726254188348833,0.0001527740500541867,0.04590111445755077,0.0,0.0,0.00019754413257255983,0.0,0.0003841045110910816,0.0,0.0,0.04587280361949873,3,synthetic data generated inside this project
soc,random_forest,held_out_cell,0.021987925077906288,137.0,0.017883129908661255,0.016988680192599488,274.0,0.00504209999902135,0.018239023823500195,2.964067046643436,0.07290985654214721,0.004908887562521042,0.5330401874716468,0.02298985179407619,1.7684453999972902,0.0,0.0,0.018239023823500195,600.0,0.0,0.0,600.0,1.763403299998269,0.0008781718669699973,0.0,0.0020524898103816288,0.0003390760773928341,0.0,0.0004256841214880039,0.0003734741889328357,0.05531657602952705,0.0039842350821684865,0.0002759207339177653,0.03549850710319967,0.0008652888780592399,0.03514645894327828,0.0,0.0,0.0003734741889328357,0.0,0.0,0.0,0.0,0.03540407217228586,3,synthetic data generated inside this project
soc,ridge,chronological,0.0,0.0,-0.025392141819364222,0.010672145396323352,578.0,0.00013683333357524438,0.010286818636884769,1.5383224968476705,0.036834882374192524,-0.00011806969970776963,0.9878195291898875,0.01320206448124008,0.0020363000015398334,0.0,0.0,0.011216312923053003,600.0,0.0056393472060435835,120.0,720.0,0.0018994666679645889,0.0,0.0,0.0,0.0,0.0,3.7058107055483696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010931315420834968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001057015687130938,3,synthetic data generated inside this project
soc,ridge,held_out_cell,0.0024847578515289604,137.0,-0.0018031935983393588,0.005156608074397714,274.0,0.00012093333377076003,0.004167244635603959,0.6780286404161954,0.015008948409506617,-0.0007877112453819744,0.9773740173673593,0.005062967290776549,0.001825133334932616,0.0,0.0,0.004167244635603959,600.0,0.0,0.0,600.0,0.0017042000011618559,0.0,0.0,0.0,0.0,0.0,2.1121158319185175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006712784257604001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006817151841076473,3,synthetic data generated inside this project
soc,temporal_cnn,chronological,0.0,0.0,0.0735960652286547,0.04390290536252067,506.0,0.0010427666663114603,0.044703004555718705,6.947202819111887,0.16278034191636173,-0.0127879539438433,0.7279034172434388,0.056223654601157046,0.4938953000006829,0.0,0.0,0.0454349303083983,480.0,0.04104337579232074,96.0,576.0,0.4928525333343714,0.0,0.0,0.06836157611296019,0.023829297974776825,0.0,0.0002171801384585532,0.026505748408544843,4.253925636901896,0.07947794697830704,0.012667794117204076,0.2794347184746243,0.03186791752048083,0.1878984652399105,0.0,0.0,0.029015733366452585,0.0,0.014873521611306903,0.0,0.0,0.18780378510199813,3,synthetic data generated inside this project
soc,temporal_cnn,held_out_cell,0.03201243016271834,110.0,-0.01249915261241404,0.027032556418838515,226.0,0.0012131666650626964,0.029668135432211654,4.864406768585359,0.11816903975326136,-0.0031240983474593357,-0.6601597240197657,0.03789752978142051,1.6897708999980143,0.0,0.0,0.029668135432211654,480.0,0.0,0.0,480.0,1.6885577333329518,0.00888504805386965,0.0,0.01907099239021875,0.00946916923590487,0.0,0.0005543424415954992,0.007659775008929299,1.2636381782818367,0.02927943236331187,0.005481543593962038,0.8391861426631201,0.00979026308999744,0.8698291139067128,0.0,0.0,0.007659775008929299,0.0,0.0,0.0,0.0,0.8693864470632761,3,synthetic data generated inside this project
